gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
10983,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,UNITED TECHNOLOGIES CORP,UTX,913017109,101829,3724,336412
11456,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WEYERHAEUSER CO,WY,962166104,106535,2400,321
11465,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WHIRLPOOL CORP,WHR,963320106,106640,3630,3352
11636,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,XEROX CORP,XRX,984121608,108772,3577,333316
8446,1,3,19640331,20131201,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PENNEY (J C) CO,JCP,708160106,1166126,5311,452111
1408,1,3,19640331,20140430,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BEAM INC,BEAM,73730103,789073,2085,312140
11446,1,3,19640331,20150701,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MEADWESTVACO CORP,MWV,583334107,1159297,2631,322130
1356,1,3,19640331,20161031,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ALCOA INC,AA.3,13817507,,3720,3364
8606,1,3,19640331,20170228,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PITNEY BOWES INC,PBI,724479100,78814,3579,333318
1976,1,3,19640331,20170704,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BAKER HUGHES INC,BHI,57224107,808362,1381,213111
4087,1,3,19640331,20170831,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DU PONT (E I) DE NEMOURS,DD,263534109,30554,2820,3252
9667,1,3,19640630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SHERWIN-WILLIAMS CO,SHW,824348106,89800,2851,325510
3650,1,3,19650331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CUMMINS INC,CMI,231021106,26172,3510,333618
