gvkey,gvkeyx,from,thru,tic,co_conm,co_tic,co_cik
120877,3,20020904,20170725,I0003,REYNOLDS AMERICAN INC,RAI,1275283
3226,3,20021119,,I0003,COMCAST CORP,CMCSA,1166691
64166,3,20021212,,I0003,QUEST DIAGNOSTICS INC,DGX,1022079
9063,3,20030224,20170807,I0003,AUTONATION INC,AN,350698
30490,3,20030314,,I0003,APARTMENT INVST & MGMT CO,AIV,922864
7146,3,20030321,,I0003,MCCORMICK & CO INC,MKC,63754
15855,3,20030331,,I0003,SYMANTEC CORP,SYMC,849399
66731,3,20030416,20130101,I0003,FEDERATED INVESTORS INC,FII,1056288
29984,3,20030717,,I0003,PROLOGIS INC,PLD,1045609
7186,3,20030820,20120403,I0003,MEDCO HEALTH SOLUTIONS INC,MHS,1170650
25356,3,20030926,,I0003,EXPRESS SCRIPTS HOLDING CO,ESRX,1532063
24468,3,20031113,,I0003,BIOGEN INC,BIIB,875045
4699,3,20040227,,I0003,M & T BANK CORP,MTB,36270
63501,3,20040401,,I0003,E TRADE FINANCIAL CORP,ETFC,1015780
7637,3,20040423,,I0003,MYLAN NV,MYL,1623613
15247,3,20040429,,I0003,VALERO ENERGY CORP,VLO,1035002
160255,3,20040503,20150902,I0003,HOSPIRA INC,HSP,1274057
24856,3,20040701,,I0003,GILEAD SCIENCES INC,GILD,882095
140541,3,20040901,,I0003,TAPESTRY INC,TPR,1116132
14960,3,20041101,,I0003,LABORATORY CP OF AMER HLDGS,LH,920148
110685,3,20041201,,I0003,L3 TECHNOLOGIES INC,LLL,1039101
12886,3,20041220,,I0003,TWENTY-FIRST CENTURY FOX INC,FOXA,1308161
63892,3,20050314,,I0003,NATIONAL OILWELL VARCO INC,NOV,1021860
6307,3,20050328,20120904,I0003,SEARS HOLDINGS CORP,SHLD,1310067
2710,3,20050705,,I0003,CONSTELLATION BRANDS,STZ,16918
25340,3,20050705,,I0003,D R HORTON INC,DHI,882184
10793,3,20050811,,I0003,TYSON FOODS INC  -CL A,TSN,100493
11220,3,20050812,,I0003,VORNADO REALTY TRUST,VNO,899689
7620,3,20050815,20170725,I0003,MURPHY OIL CORP,MUR,717423
10096,3,20050819,,I0003,PUBLIC STORAGE,PSA,1393311
23877,3,20050830,20130508,I0003,COVENTRY HEALTH CARE INC,CVH,1054833
164708,3,20051003,,I0003,AMERIPRISE FINANCIAL INC,AMP,820027
6669,3,20051004,,I0003,LENNAR CORP,LEN,920760
25880,3,20051011,20180318,I0003,PATTERSON COMPANIES INC,PDCO,891024
64768,3,20051121,,I0003,AMAZON.COM INC,AMZN,1018724
158354,3,20051202,20151117,I0003,GENWORTH FINANCIAL INC,GNW,1276520
165675,3,20060103,,I0003,VIACOM INC,VIAB,1339947
24893,3,20060103,20170828,I0003,WHOLE FOODS MARKET INC,WFM,865436
61567,3,20060105,,I0003,LAUDER (ESTEE) COS INC -CL A,EL,1001250
66368,3,20060201,,I0003,VERISIGN INC,VRSN,1014473
12788,3,20060201,20170315,I0003,HARMAN INTERNATIONAL INDS,HAR,800459
27786,3,20060303,20180318,I0003,CHESAPEAKE ENERGY CORP,CHK,895126
24731,3,20060403,,I0003,KIMCO REALTY CORP,KIM,879101
64925,3,20060403,,I0003,BOSTON PROPERTIES INC,BXP,1037540
