2017,2018,,Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded,,
,,114,Cintas Corporation,CTAS,reports,Industrials,Diversified Support Services,"Mason, Ohio",36951,723254,,,
,,115,Cisco Systems,CSCO,reports,Information Technology,Communications Equipment,"San Jose, California",34304,858877,,,
,,116,Citigroup Inc.,C,reports,Financials,Diversified Banks,"New York, New York",32294,831001,,,
,,117,Citizens Financial Group,CFG,reports,Financials,Regional Banks,"Providence, Rhode Island",42398,759944,,,
,,118,Citrix Systems,CTXS,reports,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",36495,877890,,,
,,119,The Clorox Company,CLX,reports,Consumer Staples,Household Products,"Oakland, California",25293,21076,1913,,
,,120,CME Group Inc.,CME,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",38940,1156375,,,
,,121,CMS Energy,CMS,reports,Utilities,Multi-Utilities,"Jackson, Michigan",36283,811156,,,
,,122,Coca-Cola Company,KO,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,21344,1886,,
,,123,Cognizant Technology Solutions,CTSH,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",39038,1058290,,,
,,124,Colgate-Palmolive,CL,reports,Consumer Staples,Household Products,"New York, New York",,21665,1806,,
,,125,Comcast Corp.,CMCSA,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",42265,1166691,,,
,,126,Comerica Inc.,CMA,reports,Financials,Diversified Banks,"Dallas, Texas",35034,28412,,,
,,127,Conagra Brands,CAG,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",30559,23217,,,
,,128,Concho Resources,CXO,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",42422,1358071,,,
,,129,ConocoPhillips,COP,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165,2002,,
,,130,Consolidated Edison,ED,reports,Utilities,Electric Utilities,"New York, New York",,1047862,1823,,
,,131,Constellation Brands,STZ,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",38538,16918,,,
,,132,The Cooper Companies,COO,reports,Health Care,Health Care Supplies,"Pleasanton, California",42636,711404,,,
,CPRT,133,Dr Pepper Snapple Group ,DPS,reports,,,,,1418135,,,
,,134,Corning Inc.,GLW,reports,Information Technology,Electronic Components,"Corning, New York",,24741,1851,,
,,135,Costco Wholesale Corp.,COST,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",34243,909832,,,
,,136,"Coty, Inc",COTY,reports,Consumer Staples,Personal Products,"New York, New York",42646,1024305,,,
,,137,Crown Castle International Corp.,CCI,reports,Real Estate,Specialized REITs,"Houston, Texas",40982,1051470,,,
,,138,CSX Corp.,CSX,reports,Industrials,Railroads,"Jacksonville, Florida",24745,277948,1980,,
